COMMUNITY,RANK,DEGREE_NODE,DEGREE_VALUE,EIGENVECTOR_NODE,EIGENVECTOR_VALUE,PAGERANK_NODE,PAGERANK_VALUE
3,9,YCR088W,46,YHR023W,0.15606996121354424,YHR084W,0.005647480219676184
3,10,YDR477W,43,YMR109W,0.14540882736076124,YHR030C,0.005646233987979233
4,1,YDL132W,107,YGR232W,0.14728863374758613,YBR160W,0.011695460733829797
4,2,YOL133W,104,YDL132W,0.14124970859151773,YDL132W,0.011360705654679242
4,3,YIL046W,102,YHR200W,0.14036441017887583,YOL133W,0.010877780603309394
4,4,YDR328C,101,YFR004W,0.14005227514269253,YDR328C,0.010725474007844623
4,5,YBR160W,99,YDR328C,0.13791863356972137,YIL046W,0.010325364057962217
4,6,YJR090C,89,YKL145W,0.13749070678711012,YJR090C,0.009106809882687774
4,7,YGR232W,89,YGL048C,0.13549934248595594,YGR232W,0.008492136911230566
4,8,YGR108W,83,YHR027C,0.13540647249433752,YPR119W,0.008454929853970398
4,9,YPR119W,81,YOR117W,0.1353060769339445,YGR108W,0.008450865012893934
4,10,YHR200W,79,YER012W,0.13427210402474635,YDR139C,0.007928708990647421
5,1,Q0130,113,YOR065W,0.18378755057879206,YOR065W,0.010236702858108416
5,2,YOR065W,111,Q0130,0.18126299571901522,Q0130,0.010210318619666271
5,3,YJR121W,110,YJR121W,0.17698942746251556,YJR121W,0.00990876244730256
5,4,YBL099W,107,YBL099W,0.17496294911555943,YBL099W,0.009676257135608383
5,5,YGL187C,85,YGL187C,0.15232083970401789,YGL187C,0.007815909606726986
5,6,YMR203W,81,YNL052W,0.1399334917922837,YMR203W,0.007643607439216109
5,7,YEL024W,79,YEL024W,0.12423888708690026,YEL024W,0.007578026415305933
5,8,YNL052W,72,YPR191W,0.11823783234354054,Q0085,0.007088965675694104
5,9,YPR191W,70,YMR203W,0.11717546258417422,Q0105,0.00683118187953874
5,10,YBL045C,69,YLR038C,0.11572682084032546,Q0250,0.006820712261892791
6,1,YGL026C,73,YLR174W,0.17627782557782734,YGL026C,0.007539148302339302
6,2,YKL211C,66,YCR005C,0.1622358273057579,YKL211C,0.006516430865323769
6,3,YLR174W,63,YPR001W,0.15618695712408373,YER069W,0.006379219214010291
6,4,YER069W,63,YIL125W,0.14811126112622167,YLR174W,0.005930543167350417
6,5,YCL030C,57,YKL106W,0.14239463552282108,YCL030C,0.005408250886025987
6,6,YLR359W,53,YDL078C,0.14144776628301142,YMR217W,0.005324945173649947
6,7,YHR018C,52,YKL085W,0.14078966849275187,YLR359W,0.00519350545845025
6,8,YKL106W,51,YDL066W,0.13849587637786256,YLR027C,0.00501310990024154
6,9,YLR027C,50,YGL062W,0.1380639289106107,YKL106W,0.00497728966271259
6,10,YOR375C,49,YOR375C,0.13758771190778576,YHR018C,0.004929240566078182
7,1,YPR187W,101,YPR187W,0.1551568374437944,YER148W,0.01711870758936126
7,2,YOR210W,100,YBR154C,0.15505479488232968,YDL140C,0.016433423702451752
7,3,YER148W,100,YOR210W,0.15487110987991137,YOR224C,0.016303257181434095
7,4,YBR154C,100,YOR224C,0.1537454494287819,YPR187W,0.015995198361149418
7,5,YDL140C,99,YHR143W-A,0.15369908492323822,YBR154C,0.015737718925772075
7,6,YOR224C,98,YDL140C,0.15254807786463184,YIL021W,0.01565978593994502
7,7,YHR143W-A,97,YIL021W,0.15016675516334438,YOR210W,0.01565721194407696
7,8,YIL021W,93,YJL140W,0.1500717578956082,YHR143W-A,0.015224308109175782
7,9,YDR404C,90,YOL005C,0.15001215038730478,YDR404C,0.01374843331476053
7,10,YOL005C,89,YDR404C,0.1497985294409467,YJL140W,0.01349874147377793
8,1,YLR335W,49,YLR335W,0.1934704630831415,YLR347C,0.023823624910518048
8,2,YLR347C,48,YOR098C,0.1838417018399347,YLR335W,0.022076979810826926
8,3,YOR098C,43,YMR047C,0.18195446512646254,YPL169C,0.02142674638537716
8,4,YIL115C,43,YIL115C,0.18130431433749644,YIL115C,0.0201074987665918
8,5,YPL169C,42,YBL079W,0.17551133865536753,YMR047C,0.018734749751791284
8,6,YMR047C,42,YKL068W,0.17491477469354788,YOR098C,0.018557722151070925
8,7,YBL079W,40,YGR119C,0.1735033248295983,YBL079W,0.017545229776580025
